Molecule,P_app,P_app_error,Assay,pH,Efflux_effects,Efflux_ratio,P_app_ref,reference,P_app_comments,Other_Comments,Dosing_Concentration (uM)
Quinidine,0.0000163,0.0000036,VB-Caco-2,7.4,NA,4.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Loperamide,0.0000115,0.0000007,VB-Caco-2,7.4,NA,3.13,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Atenolol,0.00000025,0.00000009,VB-Caco-2,7.4,NA,1.95,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive paracellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Vinblastine,0.00000028,0.00000007,VB-Caco-2,7.4,NA,270.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, MRP2 are the major efflux transporters. Efflux","seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Cimetidine,0.00000096,0.00000056,VB-Caco-2,7.4,NA,3.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, BCRP are the major efflux transporters, efflux","seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Digoxin,0.00000055,0.00000017,VB-Caco-2,7.4,NA,65.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp is the major efflux transporter, efflux","seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Fluorescein-Na,0.00000047,0.00000017,VB-Caco-2,7.4,NA,nan,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive paracellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",100
Antipyrine,0.0000726,0.0000023,MDCK,7.4,NA,0.98,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Caffeine,0.0000793,0.0000032,MDCK,7.4,NA,0.98,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Verapamil,0.0000256,0.0000106,MDCK,7.4,NA,1.59,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Indomethacin,0.0000471,0.0000044,MDCK,7.4,NA,1.11,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Quinidine,0.0000318,0.0000034,MDCK,7.4,NA,1.22,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Loperamide,0.00000948,0.00000103,MDCK,7.4,NA,1.81,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Atenolol,0.00000058,0.0000002,MDCK,7.4,NA,1.42,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive paracellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Vinblastine,0.00000209,0.00000092,MDCK,7.4,NA,7.32,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, MRP2 are the major efflux transporters. Efflux","seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Cimetidine,0.00000104,0.00000018,MDCK,7.4,NA,1.32,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, BCRP are the major efflux transporters, efflux","seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Digoxin,0.00000237,0.00000012,MDCK,7.4,NA,7,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp is the major efflux transporter, efflux","seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Fluorescein-Na,0.00000065,0.00000016,MDCK,7.4,NA,nan,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive paracellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",100
Antipyrine,0.0000746,0.0000031,MDCK-MDR1,7.4,NA,0.98,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Caffeine,0.0000785,0.0000056,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Verapamil,0.0000152,0.0000003,MDCK-MDR1,7.4,NA,1.75,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Indomethacin,0.0000455,0.0000043,MDCK-MDR1,7.4,NA,1.05,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Quinidine,0.00000519,0.00000151,MDCK-MDR1,7.4,NA,13.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Loperamide,0.0000047,0.00000267,MDCK-MDR1,7.4,NA,9.79,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Atenolol,0.00000043,0.00000014,MDCK-MDR1,7.4,NA,1.64,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive paracellular/efflux,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Vinblastine,0.00000021,0.00000012,MDCK-MDR1,7.4,NA,50.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, MRP2 are the major efflux transporters. Efflux","seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Cimetidine,0.00000078,0.0000001,MDCK-MDR1,7.4,NA,3.45,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, BCRP are the major efflux transporters, efflux","seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Digoxin,0.00000057,0.00000009,MDCK-MDR1,7.4,NA,7.56,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp is the major efflux transporter, efflux","seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Fluorescein-Na,0.00000059,0.00000006,MDCK-MDR1,7.4,NA,nan,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive paracellular,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",100
Aldosterone,0.0000328,nan,VB-Caco-2,7.4,NA,1.4,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Estradiol,0.0000509,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Hydrocortisone,0.0000219,nan,VB-Caco-2,7.4,NA,2.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Lidocaine,0.0000708,nan,VB-Caco-2,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Omeprazole,0.0000532,nan,VB-Caco-2,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Phenytoin,0.0000627,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Progesterone,0.0000463,nan,VB-Caco-2,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Propranolol,0.0000376,nan,VB-Caco-2,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Metoprolol,0.0000574,nan,VB-Caco-2,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Colchicine,0.0000004,nan,VB-Caco-2,7.4,NA,29.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Salicylic Acid,0.0000123,nan,VB-Caco-2,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Theobromine,0.0000344,nan,VB-Caco-2,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Corticosterone,0.0000627,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Acetaminophen,0.0000344,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Ketoconazole,0.0000271,nan,VB-Caco-2,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Dexamethasone,0.0000135,nan,VB-Caco-2,7.4,NA,2.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Ranitidine,0.0000005,nan,VB-Caco-2,7.4,NA,3.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Chlorothiazide,0.0000001,nan,VB-Caco-2,7.4,NA,21.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Furosemide,0.0000003,nan,VB-Caco-2,7.4,NA,72.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Sulfasalazine,0.0000002,nan,VB-Caco-2,7.4,NA,65.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Doxorubicin,0.0000001,nan,VB-Caco-2,7.4,NA,60.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Talinolol,0.0000003,nan,VB-Caco-2,7.4,NA,35.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Ibuprofen,0.0000762,nan,VB-Caco-2,7.4,NA,0.7,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Warfarin,0.0000536,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Lamotrigine,0.0000614,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Aldosterone,0.0000243,nan,MDCK-MDR1,7.4,NA,2.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Estradiol,0.0000448,nan,MDCK-MDR1,7.4,NA,1.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Hydrocortisone,0.0000162,nan,MDCK-MDR1,7.4,NA,4.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Lidocaine,0.0000737,nan,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Omeprazole,0.0000494,nan,MDCK-MDR1,7.4,NA,2.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Phenytoin,0.0000462,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Progesterone,0.0000403,nan,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Propranolol,0.0000299,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Metoprolol,0.0000672,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Colchicine,0.0000008,nan,MDCK-MDR1,7.4,NA,3.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Salicylic Acid,0.0000093,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Theobromine,0.0000376,nan,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Corticosterone,0.0000582,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Acetaminophen,0.0000235,nan,MDCK-MDR1,7.4,NA,1.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Ketoconazole,0.0000296,nan,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Dexamethasone,0.0000062,nan,MDCK-MDR1,7.4,NA,5.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Ranitidine,0.0000015,nan,MDCK-MDR1,7.4,NA,2.2,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Chlorothiazide,0.0000007,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Furosemide,0.0000007,nan,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Sulfasalazine,0.0000004,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Doxorubicin,0.0000002,nan,MDCK-MDR1,7.4,NA,4.4,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",50
Talinolol,0.0000004,nan,MDCK-MDR1,7.4,NA,5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Ibuprofen,0.0000743,nan,MDCK-MDR1,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Warfarin,0.0000418,nan,MDCK-MDR1,7.4,NA,1.3,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Lamotrigine,0.0000515,nan,MDCK-MDR1,7.4,NA,1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,apical-to-basolateral transwell measurement,"seeded at 5x10^5 cells per 1.12 cm 2 density on Costar Transwell inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Alprenolol,0.0000517,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Labetalol,0.0000093,nan,VB-Caco-2,7.4,NA,4.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Risperidone,0.0000413,nan,VB-Caco-2,7.4,NA,1.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Sulfadiazine,0.0000074,nan,VB-Caco-2,7.4,NA,0.9,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,Caco-2 cultures by growing cells in a 10 nM vinblastine. cells preserve high P-gp expressing properties,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
